restaurantID,name,location,reviewCount,rating,categories,address,Hours,GoodforKids,AcceptsCreditCards,Parking,Attire,GoodforGroups,PriceRange,TakesReservations,Delivery,Takeout,WaiterService,OutdoorSeating,WiFi,GoodFor,Alcohol,NoiseLevel,Ambience,HasTV,Caters,WheelchairAccessible,webSite,phoneNumber,filReviewCount
-TcRFgNoikGd36DlgokVdA,Bella Bronze Tan & Body Spa,"Bella Bronze Tan & Body Spa - Near Southside - Chicago, IL",45,5,"Beauty and Spas, Tanning, Day Spas, Skin Care, METADATA","1503 S Michigan Ave (at 14th St) Chicago, IL 60605 Neighborhood: Near Southside",Mon-Fri 9 am - 9 pm Sat 9 am - 7 pm,,Yes,"Street, Private Lot",,,$$,,,,,,,,,,,,,Yes,http://www.bellabronzetan.com,(312) 427-6693,11
-WL5bFWWhbwWCVI4GYBkhQ,Beard Papa's Cream Puffs,"Beard Papa's Cream Puffs - The Loop - Chicago, IL",321,4,"Food, Bakeries, Desserts, Coffee & Tea, METADATA","108 N State St (between Court Pl & Washington St) Chicago, IL 60602 Neighborhood: The Loop",Mon-Thu 7:30 am - 7:30 pm Fri 7 am - 7:30 pm Sat 10 am - 7 pm,,Yes,Street,,,$,,,,,No,,,,,,,,Yes,,(312) 960-9000,25
0-j1UL2JhVfPc-flsK3aVA,Bar Millennium,"Bar Millennium - The Loop - Chicago, IL",7,4,"Nightlife, Bars, Pubs, METADATA","151 N Michigan Ave (at Randolph St) Chicago, IL 60601 Neighborhood: The Loop",,,Yes,,,Yes,$,,,,,No,,,Full Bar,Very Loud,Divey,Yes,,Yes,,(312) 846-6875,4
091Y2qP4mAZpHfrdwqQyZQ,Baldwin Kathleen Cooper MD,"Baldwin Kathleen Cooper MD - The Loop - Chicago, IL",1,5,"Health and Medical, Doctors, METADATA","151 N Michigan Avenue Chicago, IL 60601 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,(312) 861-9498,0
0s3yJUGqg9KrPCSwk8hJNA,Brandos,"Brandos - The Loop - Chicago, IL",143,4,"Nightlife, Bars, Lounges, Dance Clubs, Karaoke, METADATA","343 S Dearborn St Chicago, IL 60604 Neighborhood: The Loop",Mon-Fri 10 am - 2 am Sat 11 am - 3 am Sun 11 am - 2 am,,Yes,Street,,Yes,$$,,,,,No,,,Full Bar,Average,Casual,Yes,,Yes,http://www.brandoschicago.com,(773) 216-3213,47
12YOCJb0zuKue-F7ysHGSg,BomBon 4,"BomBon 4 - CLOSED - The Loop - Chicago, IL",50,5,"Restaurants, Mexican, METADATA","170 W Washington St (between La Salle St & Wells St) Chicago, IL 60602 Neighborhood: The Loop",,Yes,Yes,Street,Casual,Yes,$,No,No,Yes,Yes,No,,Lunch,No,,,,,Yes,http://www.bomboncafe.com,(312) 781-2788,1
1s9iSQ4z8yDy9ffGqg81Fw,Blue Cross Blue Shield,"Blue Cross Blue Shield - The Loop - Chicago, IL",17,3,"Health and Medical, METADATA","300 E Randolph St (at Columbus Dr) Chicago, IL 60601 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,http://www.bcbsil.com,(312) 938-7500,12
210rvDTo_0HSSo5tLr9HMA,Bash on Wabash,"Bash on Wabash - Near Southside - Chicago, IL",8,3,"Local Flavor, METADATA","Wabash at 14th St. Chicago, IL 60605 Neighborhood: Near Southside",,Yes,,,,,,,,,,,,,,,,,,,http://www.greatersouthloop.org/BAâ€¦,,0
2PIvYS7kCl4O8WD71-XjQw,Best Imaging Solutions,"Best Imaging Solutions - The Loop - Chicago, IL",2,3,"Local Services, Printing Services, METADATA","20 E Randolph St Chicago, IL 60601 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,(312) 357-9050,2
4ogd5u2JhzgJvsF7TK_CNQ,"Brynne Anderson, DDS","Brynne Anderson, DDS - The Loop - Chicago, IL",5,5,"Health and Medical, Dentists, METADATA","111 N Wabash Ave Ste 1107 Chicago, IL 60602 Neighborhood: The Loop",Mon-Thu 8 am - 6 pm,,,,,,,,,,,,,,,,,,,,http://www.intheloopdentist.com,(312) 609-1300,26
5IL7unC2D3G8X7vaIfjfDA,Berry Chill,"Berry Chill - The Loop - Chicago, IL",2,5,"Food, Ice Cream & Frozen Yogurt, METADATA","225 N Michigan Avenue (between Lake St & Wacker Pl) Chicago, IL 60601 Neighborhood: The Loop",,,Yes,,,,$$,,,,,,,,,,,,,,http://www.berrychill.com,(312) 861-0900,0
6cmVmhzc8zRg72TtEX_WPQ,Bombon,"Bombon - Near West Side - Chicago, IL",7,3,"Food, Bakeries, METADATA","36 S Ashland Ave Chicago, IL 60606 Neighborhoods: Near West Side, West Loop",,,Yes,,,,$$$,,,,,,,,,,,,,Yes,http://www.bomboncafe.com,(312) 798-6888,1
6jTzrKHZwk9WbGOd3EepJQ,Bert Green Fine Art,"Bert Green Fine Art - The Loop - Chicago, IL",4,5,"Arts & Entertainment, Art Galleries, Shopping, METADATA","8 S Michigan Ave Ste 1220 (between Madison St & Monroe St) Chicago, IL 60603 Neighborhood: The Loop",Wed-Fri 12 pm - 6 pm Sat 12 pm - 5 pm,No,,,,,$$$,,,,,,,,,,,,,Yes,http://www.bgfa.us/,(312) 434-7544,0
6uHZp2gEACbXPahtjLdibw,Bank of America,"Bank of America - The Loop - Chicago, IL",3,5,"Financial Services, Banks & Credit Unions, Home Services, Real Estate, Mortgage Brokers, METADATA","2 S Michigan Ave Chicago, IL 60603 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,http://www.bankofamerica.com,(312) 580-1976,0
6V-_fOaVf_JKGWxA4PvDDA,Bennigan's,"Bennigan's - CLOSED - The Loop - Chicago, IL",26,3,"Restaurants, METADATA","225 N Michigan Avenue (between Lake St & Wacker Pl) Chicago, IL 60601 Neighborhood: The Loop",,Yes,Yes,,Casual,Yes,$$,,,Yes,Yes,No,,,,,,,,Yes,,(312) 938-9080,3
6v0fFTgZgtlgekrCS5rXaw,"Bongiorno Joseph A, MD","Bongiorno Joseph A, MD - The Loop - Chicago, IL",2,5,"Health and Medical, Doctors, Psychiatrists, METADATA","30 N Michigan Ave Ste 1609 Chicago, IL 60602 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,(312) 782-6319,0
6_PHtHLhghGESuxTc47SGg,Benefit Brow Bar,"Benefit Brow Bar - The Loop - Chicago, IL",24,4,"Beauty and Spas, METADATA","111 N State St (between Washington St & Court Pl) Chicago, IL 60602 Neighborhood: The Loop",Mon-Sat 10 am - 8 pm Sun 11 am - 6 pm,,Yes,Garage,,,$$,,,,,,,,,,,,,Yes,http://www.macys.com/catalog/indexâ€¦,(312) 781-1000,11
7eRnlfZnXvsZ3M2NbddDdg,Bionda To Go,"Bionda To Go - CLOSED - The Loop - Chicago, IL",13,4,"Restaurants, Italian, METADATA","400 S Financial Pl (between Van Buren St & Congress Pky) Chicago, IL 60605 Neighborhood: The Loop",,No,Yes,,Casual,No,$,No,Yes,Yes,No,No,No,Lunch,No,Average,,No,,Yes,,(312) 435-0400,3
8xGzvcmrZ5EJBOKylpsslw,Bank of America,"Bank of America - The Loop - Chicago, IL",2,1,"Financial Services, Banks & Credit Unions, METADATA","233 S Wacker Drive Chicago, IL 60606 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,(312) 234-5000,1
ABV1Ow2DMdBZAHVz5RrcOw,Burlington Coat Factory,"Burlington Coat Factory - The Loop - Chicago, IL",2,3,"Shopping, Department Stores, Fashion, METADATA","1 N State St (between Madison St & Monroe St) Chicago, IL 60603 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,http://www.burlingtoncoatfactory.câ€¦,(312) 629-1815,1
AgN30Sf7VIRuicScI7Vc9A,Books In The City,"Books In The City - South Loop - Chicago, IL",4,4,"Shopping, Books, Mags, Music and Video, Bookstores, METADATA","545 S State St (between Harrison St & Congress Pky) Chicago, IL 60605 Neighborhood: South Loop",Mon-Fri 10 am - 7 pm Sat 11 am - 6 pm,,Yes,Street,,,$$,,,,,,,,,,,,,Yes,http://www.booksinthecity.com,(312) 291-1111,0
b0E0B895Dtf_eNvP2eVfwA,Barbara's Bookstore,"Barbara's Bookstore - The Loop - Chicago, IL",1,4,"Add, METADATA","111 N State Street Chicago, IL 60602 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,(312) 781-3033,0
B2Wgw3j602wu9o1bbdXQNg,Burrito Beach,"Burrito Beach - Near West Side - Chicago, IL",14,3,"Restaurants, Tex-Mex, METADATA","210 S Canal St (between Adams St & Fulton St) Chicago, IL 60606 Neighborhood: Near West Side",,Yes,Yes,,Casual,Yes,$,No,No,Yes,No,No,No,Lunch,No,Very Loud,,No,No,Yes,,(312) 575-9749,0
b6DDnuj6WeQozVEXngTEKA,Bella Bacino's,"Bella Bacino's - The Loop - Chicago, IL",137,4,"Restaurants, Pizza, Italian, METADATA","75 E Wacker Dr (between Wabash Ave & Macchesneyer Dr) Chicago, IL 60601 Neighborhood: The Loop",Mon-Fri 6:30 am - 11 pm Sat 8 am - 11 pm Sun 8 am - 10 pm,Yes,Yes,Street,Casual,Yes,$$,Yes,Yes,Yes,Yes,Yes,Free,Dinner,Full Bar,Average,Casual,Yes,Yes,Yes,http://www.bacinos.com/,(312) 263-2350,24
B8scdkaVSwnWeqORgLPhVA,BB's,"BB's - CLOSED - Near North Side - Chicago, IL",26,4,"Restaurants, American (Traditional), Nightlife, Bars, METADATA","22 E Hubbard St Chicago, IL 60601 Neighborhood: Near North Side",,No,Yes,Street,Casual,Yes,$$,Yes,No,Yes,Yes,Yes,,Dinner,Full Bar,,,,,,,(312) 755-0007,2
b9ydWirWbGZTF-X8tmw5lw,Buen Apetito,"Buen Apetito - Near West Side - Chicago, IL",14,4,"Restaurants, Mexican, METADATA","French Market 131 N Clinton St Chicago, IL 60606 Neighborhood: Near West Side",,,Yes,,Casual,No,$,No,,Yes,No,No,,,No,Loud,,No,,,,(312) 234-9600,2
belkExx9ktP516XiqPxCDg,Beef and Brandy,"Beef and Brandy - The Loop - Chicago, IL",115,3,"Restaurants, American (Traditional), Breakfast & Brunch, METADATA","127 S State St (between Marble Pl & Adams St) Chicago, IL 60603 Neighborhood: The Loop",Mon-Tue 7 am - 9 pm Wed-Sat 7 am - 10 pm Sun 7 am - 7 pm,Yes,Yes,Street,Casual,Yes,$$,Yes,Yes,Yes,Yes,No,Free,"Lunch, Breakfast",Full Bar,Average,Casual,Yes,,Yes,http://www.beefbrandy.net,(312) 372-3451,21
bFxtGcL0W7ZNEj3NwTmM0A,Blackbird,"Blackbird - Near West Side - Chicago, IL",676,4,"Restaurants, American (New), METADATA","619 W Randolph St Chicago, IL 60606 Neighborhood: Near West Side",Mon-Fri 11:30 am - 2 pm Mon-Thu 5:30 pm - 10:30 pm Fri-Sat 5:30 pm - 11:30 pm,No,Yes,"Street, Valet",Dressy,No,$$$,Yes,No,No,Yes,Yes,No,Dinner,Full Bar,Average,"Classy, Trendy, Upscale",No,No,Yes,http://www.blackbirdrestaurant.com/,(312) 715-0708,52
bLacdO70gh88-MNWLUM4Ag,"Belke Carolyn, DDS","Belke Carolyn, DDS - The Loop - Chicago, IL",8,4,"Health and Medical, Dentists, General Dentistry, METADATA","55 E Washington St (between Wabash Ave & Dearborn St) Chicago, IL 60602 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,(312) 332-0416,6
Bpf0-FR1AW1krzAxAt3C6Q,Bodega N.5,"Bodega N.5 - South Loop - Chicago, IL",22,4,"Restaurants, Spanish, Nightlife, Bars, Pubs, METADATA","638 S Michigan Ave (between Congress Plaza Dr & Harrison St) Chicago, IL 60605 Neighborhood: South Loop",Tue-Wed 6:30 am - 5 pm Thu 6:30 am - 10 pm Fri-Sat 6:30 am - 12 am,No,Yes,"Validated, Valet",Casual,Yes,$,No,No,Yes,Yes,Yes,Free,,Full Bar,Loud,"Trendy, Casual",Yes,No,Yes,,(312) 542-3605,1
BphyZ09tuDuJ7TPr1syPhQ,Brasserie By LM,"Brasserie By LM - South Loop - Chicago, IL",37,3,"Restaurants, French, METADATA","800 S Michigan Ave (between Balbo Ave & 9th St) Chicago, IL 60605 Neighborhood: South Loop",Mon-Sun 6 am - 10:30 pm,Yes,Yes,Street,Casual,Yes,$$,Yes,No,Yes,Yes,Yes,Paid,"Late Night, Lunch, Dinner, Breakfast",Full Bar,Average,,Yes,Yes,,http://brasseriebylm.com/,(312) 431-1788,12
CkBkSh2KdwQhkEeIEQKv_w,BackStage Bistro,"BackStage Bistro - The Loop - Chicago, IL",16,4,"Restaurants, American (New), Education, Specialty Schools, Cooking Schools, METADATA","180 N Wabash Ave Chicago, IL 60601 Neighborhood: The Loop",Wed-Fri 11:30 am - 1 pm Wed-Fri 5:30 pm - 7 pm,Yes,Yes,,Casual,Yes,$$,Yes,No,No,Yes,No,,Lunch,Full Bar,Quiet,,No,Yes,Yes,,(312) 777-7800,3
Cm7HjxpmX61s4fV3QaH8bw,Borders,"Borders - CLOSED - The Loop - Chicago, IL",70,4,"Shopping, Books, Mags, Music and Video, Bookstores, METADATA","150 N State St (between Benton Pl & Couch Pl) Chicago, IL 60601 Neighborhood: The Loop",,,Yes,Street,,,$$,,,,,,,,,,,,,Yes,http://www.borders.com,(312) 606-0750,3
cW7X-3ZGv0nTwIgJ82R3dA,Berghoff CafÃ©,"Berghoff CafÃ© - The Loop - Chicago, IL",99,4,"Restaurants, German, American (New), Polish, METADATA","17 W Adams St (between Dearborn St & State St) Chicago, IL 60603 Neighborhood: The Loop",Mon-Fri 11 am - 2:30 pm,Yes,Yes,Street,Casual,Yes,$$,Yes,No,Yes,Yes,No,No,Lunch,Full Bar,Average,Casual,No,,Yes,http://www.theberghoff.com/cafe/deâ€¦,(312) 427-7399,4
CXWcgEmNQ1zSjiIU9--HOw,Berghoff Catering,"Berghoff Catering - The Loop - Chicago, IL",17,4,"Event Planning & Services, Caterers, METADATA","17 W Adams St (between State St & Dearborn St) Chicago, IL 60603 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,http://www.berghoffcatering.com,(312) 408-0200,6
D3tzOb9LneB10eNNooZyBg,Best Western Grant Park,"Best Western Grant Park - South Loop - Chicago, IL",17,3,"Event Planning & Services, Hotels, Hotels & Travel, METADATA","1100 S. Michigan Avenue (between 11th St & Roosevelt Rd) Chicago, IL 60605 Neighborhood: South Loop",,,Yes,,,,$$,,,,,,Free,,,,,,,,http://www.bwgrantparkhotel.com,(312) 922-2900,9
D4tTwfLqr1un9nlcnKELbQ,Bergen Counseling Center,"Bergen Counseling Center - The Loop - Chicago, IL",1,5,"Health and Medical, Counseling & Mental Health, METADATA","208 S LaSalle Ste 1889 Chicago, IL 60604 Neighborhood: The Loop",Mon 9 am - 5 pm Tue-Thu 9 am - 9 pm Fri 9 am - 6 pm,,,,,,,,,,,,,,,,,,,,http://www.bergencounselingcenter.â€¦,(773) 512-4992,0
dNMlgVvlmUA8e4r5qhm5aA,Baja Fresh,"Baja Fresh - CLOSED - The Loop - Chicago, IL",17,4,"Restaurants, Mexican, METADATA","180 N Michigan Ave (at Lake St) Chicago, IL 60601 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,(312) 223-8590,0
DNTObJfENaR9cZTQEUVn_g,Burnham Park Animal Hospital,"Burnham Park Animal Hospital - South Loop - Chicago, IL",52,4,"Pets, Veterinarians, Pet Services, Pet Boarding/Pet Sitting, METADATA","1025 S State St (between 11th St & Taylor St) Chicago, IL 60605 Neighborhood: South Loop",Mon-Thu 8 am - 8 pm Fri 8 am - 6 pm Sat 8 am - 2 pm,,,,,,,,,,,,,,,,,,,,http://www.burnhamparkvet.com/,(312) 663-9200,40
DxcTQUoY5ue-Q0B9zBDpgQ,Bally Total Fitness,"Bally Total Fitness - CLOSED - The Loop - Chicago, IL",3,2,"Active Life, Fitness & Instruction, Gyms, Trainers, METADATA","230 W Monroe St Chicago, IL 60606 Neighborhood: The Loop",,No,,,,,,,,,,,,,,,,,,,http://www.ballyfitness.com,(312) 263-4500,1
DYs1U5lXggLCzEzSX5bsVw,Budget Car Rental,"Budget Car Rental - South Loop - Chicago, IL",7,3,"Automotive, Hotels & Travel, Car Rental, METADATA","714 SOUTH WABASH (between Balbo Ave & 8th St) Chicago, IL 60605 Neighborhood: South Loop",,,,,,,,,,,,,,,,,,,,,http://www.budget.com,(312) 960-3100,0
E6ub9_cNXgeBq3tdNCxjTA,Bell Funding,"Bell Funding - The Loop - Chicago, IL",1,1,"Financial Services, Check Cashing/Pay-day Loans, METADATA","105 W Madison St Ste 1800 (between La Salle St & Clark St) Chicago, IL 60603 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,http://bellfundinggroup.com,(312) 391-9625,1
eDL4WayYEWh8GMNfYBGZEA,Balance Spa & Fitness Palmer House,"Balance Spa & Fitness Palmer House - The Loop - Chicago, IL",56,4,"Beauty and Spas, Day Spas, Massage, METADATA","17 E Monroe St 5th Fl (between State St & Wabash Ave) Chicago, IL 60603 Neighborhood: The Loop",Mon-Sat 9 am - 8 pm Sun 9 am - 6 pm,,Yes,"Garage, Valet",,,$$$,,,,,,,,,,,,,,http://www.balancespachicago.com/iâ€¦,(312) 422-1336,24
emywLyn-d4TpeZ32U36KQg,Bacci Pizzeria,"Bacci Pizzeria - Chicago, IL",12,4,"Restaurants, Pizza, METADATA","105 W Madison St Lower Level (between Clark St & La Salle St) Chicago, IL 60602",,Yes,Yes,,Casual,Yes,$$,No,Yes,Yes,Yes,No,,,No,Average,,,,No,http://www.baccipizza.com,(312) 726-2220,2
eoskzWbS9jeQKWwyIhxSig,Bakers Footwear Group,"Bakers Footwear Group - The Loop - Chicago, IL",16,4,"Shopping, Fashion, Shoe Stores, METADATA","133 S State St (between Adams St & Marble Pl) Chicago, IL 60603 Neighborhood: The Loop",,,Yes,,,,$$,,,,,,,,,,,,,Yes,http://www.bakersshoes.com/,(312) 641-1203,2
FbkdLXAfRd-c_G0XF5ZHIA,Betty Rymer Gallery,"Betty Rymer Gallery - The Loop - Chicago, IL",1,5,"Arts & Entertainment, Art Galleries, Shopping, METADATA","280 South Columbus Drive (between Jackson Dr & Monroe St) Chicago, IL 60603 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,http://www.artic.edu/saic/art/gallâ€¦,(312) 443-3703,1
fjHe3M1WDb-Jrbhoiomp-w,Barnett C Wesley DDS,"Barnett C Wesley DDS - The Loop - Chicago, IL",1,5,"Health and Medical, Dentists, General Dentistry, METADATA","29 S La Salle St (between Arcade Pl & Monroe St) Chicago, IL 60603 Neighborhood: The Loop",Tue-Fri 7:30 am - 3:30 pm Sat 7:30 am - 12 pm,,,,,,,,,,,,,,,,,,,,,(312) 726-1155,0
FLwOlXqp5kvwnii3UQ2rLg,Bacci Pizzeria,"Bacci Pizzeria - The Loop - Chicago, IL",15,3,"Restaurants, Pizza, Italian, METADATA","407 S Dearborn (between Van Buren St & Congress Pky) Chicago, IL 60605 Neighborhood: The Loop",Mon-Fri 10 am - 9 pm Sat 11 am - 6 pm,Yes,Yes,Street,Casual,Yes,$,No,Yes,Yes,No,No,,Lunch,No,Average,,Yes,,,http://www.baccipizza.com,(312) 880-0200,4
fWLG1QNLhrx1spU2Rqwj4Q,Bally Total Fitness,"Bally Total Fitness - CLOSED - The Loop - Chicago, IL",54,2,"Active Life, Fitness & Instruction, Gyms, METADATA","25 E Washington St (between State St & Holden Ct) Chicago, IL 60602 Neighborhood: The Loop",,No,,,,,,,,,,,,,,,,,,,http://www.ballyfitness.com/get-stâ€¦,(312) 372-7755,16
fZMMj2dXMFCLq47SqDGbwQ,Burnham Pointe,"Burnham Pointe - Printer's Row - Chicago, IL",6,3,"Home Services, Real Estate, Apartments, METADATA","730 S Clark St (between Harrison St & Polk St) Chicago, IL 60605 Neighborhoods: Printer's Row, South Loop",,,Yes,,,,,,,,,,,,,,,,,,http://www.burnhampointe.com,(312) 880-0885,15
fzmRBfcH10IVQQAU28pzig,Body & Soul Hair Design,"Body & Soul Hair Design - The Loop - Chicago, IL",19,4,"Beauty and Spas, Hair Salons, METADATA","103 W Van Buren St (between Clark St & La Salle St) Chicago, IL 60605 Neighborhood: The Loop",,Yes,Yes,"Garage, Street",,,$$,,,,,,,,,,,,,Yes,,(312) 922-5472,31
gvsIEeE-sxFqrylDIjTnIQ,Bashia Hair Salon,"Bashia Hair Salon - South Loop - Chicago, IL",2,3,"Beauty and Spas, Hair Salons, METADATA","722 S Michigan Ave (between 8th St & Balbo Ave) Chicago, IL 60605 Neighborhood: South Loop",,No,,,,,$$$,,,,,,,,,,,,,,http://www.chicago-hilton.com,,0
H33CtHCGvJm4Zz61WRzEow,Burnham Cleaners,"Burnham Cleaners - Printer's Row - Chicago, IL",2,5,"Add, METADATA","720 S Clark St Chicago, IL 60605 Neighborhoods: Printer's Row, South Loop",,,,,,,,,,,,,,,,,,,,,,(312) 362-0525,1
hJD9hQWvBW3t8Zbv7E44AA,Burnham Park Yacht Club,"Burnham Park Yacht Club - Near Southside - Chicago, IL",4,5,"Add, METADATA","1500 S Linn White Dr Chicago, IL 60605",,,,,,,,,,,,,,,,,,,,,,(312) 427-4664,1
HRvdo6JwN-f1Kzwuqla0hA,Barro Mexican Cruisine,"Barro Mexican Cruisine - CLOSED - The Loop - Chicago, IL",22,3,"Restaurants, Mexican, METADATA","73 E Lake St (between Garland Ct & Dearborn St) Chicago, IL 60601 Neighborhood: The Loop",,No,Yes,,Casual,Yes,$$,No,No,Yes,Yes,No,,,Full Bar,,,,,Yes,,(312) 346-8457,1
HSoa0_zcR1Ek8HAcwdJNDw,Bank of America,"Bank of America - The Loop - Chicago, IL",4,3,"Add, METADATA","33 N Dearborn St Chicago, IL 60602 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,(312) 849-1200,2
i1YHH-LzIBH5iJtRumtJyQ,Barbara's Bestsellers,"Barbara's Bestsellers - The Loop - Chicago, IL",2,3,"Shopping, Books, Mags, Music and Video, METADATA","Sears Tower - Lower Level 1 233 S Wacker Dr Chicago, IL 60606 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,http://www.barbarasbookstore.com/,(312) 466-0223,0
i8jPE0bb-tnc3eMN8Vv2Fg,Bennigan's Grill & Tavern,"Bennigan's Grill & Tavern - The Loop - Chicago, IL",94,3,"Restaurants, American (Traditional), METADATA","150 S Michigan Ave (between Monroe St & Adams St) Chicago, IL 60603 Neighborhood: The Loop","Mon-Thu, Sun 11 am - 12 am Fri-Sat 11 am - 1 am",Yes,Yes,Street,Casual,Yes,$$,Yes,No,Yes,Yes,Yes,No,"Lunch, Dinner",Full Bar,Average,Casual,Yes,No,Yes,http://www.bennigans.com,(312) 427-0570,18
